,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
0,"Jun. 30, 2015","Anaheim Ducks Acquire:Kevin Bieksa · $4,600,000$4,600,000$2,500,000Sum: $4,600,000$4,600,000$2,500,000Change: +$4,600,000Change: +$4,600,000Change: +$2,500,000","Vancouver Canucks Acquire:2016 2nd round pick (ANA - #55 - Filip Gustavsson)Sum: $0$0$0Change: -$4,600,000Change: -$4,600,000Change: $0",Anaheim Ducks ,Kevin Bieksa,Vancouver Canucks ,2016 2nd round pick (ANA - #55 - Filip Gustavsson)
1,"Jun. 30, 2015","Arizona Coyotes Acquire:Boyd Gordon · $2,050,000$3,000,000$3,000,000 (AHL/JR)Sum: $2,050,000$3,000,000$3,000,000Change: -$450,000Change: +$500,000Change: +$300,000","Edmonton Oilers Acquire:Lauri Korpikoski · $2,500,000$2,500,000$2,700,000Sum: $2,500,000$2,500,000$2,700,000Change: +$450,000Change: -$500,000Change: -$300,000",Arizona Coyotes ,Boyd Gordon,Edmonton Oilers ,Lauri Korpikoski
2,"Jun. 30, 2015","Chicago Blackhawks Acquire:Artem Anisimov · $3,283,333$3,283,333$4,000,000Marko Dano · $925,000$925,000$925,000Jeremy Morin · $0$800,000$900,000 (AHL/JR)Corey Tropp · $0$625,000$625,000 (AHL/JR)2016 4th round pick (CBJ - #95 - Anatoly Golyshev)Sum: $4,208,333$5,633,333$6,450,000Change: -$1,791,667Change: -$1,935,000Change: +$2,310,000","Columbus Blue Jackets Acquire:Alex Broadhurst · $0$643,333$70,000 (AHL/JR)Brandon Saad · $6,000,000$6,000,000$4,000,000Michael Paliotta · $0$925,000$70,000 (AHL/JR)Sum: $6,000,000$7,568,333$4,140,000Change: +$1,791,667Change: +$1,935,000Change: -$2,310,000",Chicago Blackhawks ,Artem Anisimov,Columbus Blue Jackets ,Alex Broadhurst
3,"Jun. 30, 2015","Boston Bruins Acquire:Sean Kuraly · $0$0$02016 1st round pick (SJS - #29 - Trent Frederic)Sum: $0$0$0Change: -$3,000,000Change: -$3,000,000Change: -$3,000,000","San Jose Sharks Acquire:Martin Jones · $3,000,000$3,000,000$3,000,000Sum: $3,000,000$3,000,000$3,000,000Change: +$3,000,000Change: +$3,000,000Change: +$3,000,000",Boston Bruins ,Sean Kuraly,San Jose Sharks ,Martin Jones
4,"Jun. 30, 2015","San Jose Sharks Acquire:2016 7th round pick (STL - #209 - Nikolaj Krag Christensen) [Conditional]**Conditions: Unknown Results: Conditions not metSum: $0$0$0Change: $0Change: $0Change: -$75,000","St. Louis Blues Acquire:Konrad Abeltshauser · $0$0$75,000 (AHL/JR)Sum: $0$0$75,000Change: $0Change: $0Change: +$75,000",San Jose Sharks ,2016 7th round pick (STL - #209 - Nikolaj Krag Christensen) [Conditional]**Conditions: Unknown Results: Conditions not met,St. Louis Blues ,Konrad Abeltshauser
5,"Jun. 29, 2015","Boston Bruins Acquire:Zac Rinaldo · $850,000$850,000$850,000Sum: $850,000$850,000$850,000Change: +$850,000Change: +$850,000Change: +$850,000","Philadelphia Flyers Acquire:2017 3rd round pick (BOS - #80 - Kirill Ustimenko)Sum: $0$0$0Change: -$850,000Change: -$850,000Change: -$850,000",Boston Bruins ,Zac Rinaldo,Philadelphia Flyers ,2017 3rd round pick (BOS - #80 - Kirill Ustimenko)
6,"Jun. 27, 2015",Arizona Coyotes Acquire:2015 3rd round pick (WSH - #83 - Jens Looke)2015 3rd round pick (CGY - #76 - Adin Hill)Sum: $0$0$0Change: $0Change: $0Change: $0,Calgary Flames Acquire:2015 2nd round pick (TBL - #60 - Oliver Kylington)Sum: $0$0$0Change: $0Change: $0Change: $0,Arizona Coyotes ,2015 3rd round pick (WSH - #83 - Jens Looke)2015 3rd round pick (CGY - #76 - Adin Hill),Calgary Flames ,2015 2nd round pick (TBL - #60 - Oliver Kylington)
7,"Jun. 27, 2015","Anaheim Ducks Acquire:2015 2nd round pick (FLA - #41 - Ryan Gropp)2016 3rd round pick (MIN - #76 - Rem Pitlick) [Conditional]**Conditions: Devils option of Panthers, Wild picks Result: Anaheim receives Devils 3rd round pick.Sum: $0$0$0Change: -$1,466,667Change: -$1,466,667Change: $0","New Jersey Devils Acquire:Kyle Palmieri · $1,466,667$1,466,667$1,600,000Sum: $1,466,667$1,466,667$1,600,000Change: +$1,466,667Change: +$1,466,667Change: +$1,600,000",Anaheim Ducks ,"2015 2nd round pick (FLA - #41 - Ryan Gropp)2016 3rd round pick (MIN - #76 - Rem Pitlick) [Conditional]**Conditions: Devils option of Panthers, Wild picks Result: Anaheim receives Devils 3rd round pick.",New Jersey Devils ,Kyle Palmieri
8,"Jun. 27, 2015","Arizona Coyotes Acquire:Nicklas Grossmann ($500,000 retained - 14.3%) · $3,000,000$3,000,000$3,000,000Chris Pronger · $4,935,714$4,935,714$575,000Sum: $7,935,714$7,935,714$3,575,000Change: +$3,135,714Change: +$3,135,714Change: -$1,425,000","Philadelphia Flyers Acquire:Sam Gagner · $4,800,000$4,800,000$5,000,0002016 4th round pick (SJS - #120 - Otto Koivula) [Conditional]**Conditions: Must acquire a 2016 4th. If not acquired, Philadelphia receives a 2017 3rd round pick Result: Arizona traded this pick to PhiladelphiaSum: $4,800,000$4,800,000$5,000,000Change: -$3,135,714Change: -$3,135,714Change: +$1,425,000",Arizona Coyotes ,"Nicklas Grossmann ($500,000 retained - 14.3%)",Philadelphia Flyers ,Sam Gagner
9,"Jun. 27, 2015","Chicago Blackhawks Acquire:Ryan Haggerty · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: -$750,000Change: +$175,000Change: -$730,000","New York Rangers Acquire:Antti Raanta · $750,000$750,000$800,000Sum: $750,000$750,000$800,000Change: +$750,000Change: -$175,000Change: +$730,000",Chicago Blackhawks ,Ryan Haggerty,New York Rangers ,Antti Raanta
10,"Jun. 27, 2015",Edmonton Oilers Acquire:2015 7th round pick (ANA - #208 - Miroslav Svoboda)Sum: $0$0$0Change: $0Change: $0Change: $0,Tampa Bay Lightning Acquire:2016 7th round pick (DAL - #206 - Otto Somppi)Sum: $0$0$0Change: $0Change: $0Change: $0,Edmonton Oilers ,2015 7th round pick (ANA - #208 - Miroslav Svoboda),Tampa Bay Lightning ,2016 7th round pick (DAL - #206 - Otto Somppi)
11,"Jun. 27, 2015",Florida Panthers Acquire:2016 5th round pick (NYI - #140 - Cole Candella)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Islanders Acquire:2015 5th round pick (MTL - #147 - Ryan Pilon)Sum: $0$0$0Change: $0Change: $0Change: $0,Florida Panthers ,2016 5th round pick (NYI - #140 - Cole Candella),New York Islanders ,2015 5th round pick (MTL - #147 - Ryan Pilon)
12,"Jun. 27, 2015",Boston Bruins Acquire:2016 5th round pick (MIN - #136 - Cameron Clarke)Sum: $0$0$0Change: $0Change: $0Change: $0,Minnesota Wild Acquire:2015 5th round pick (BOS - #135 - Kirill Kaprizov)Sum: $0$0$0Change: $0Change: $0Change: $0,Boston Bruins ,2016 5th round pick (MIN - #136 - Cameron Clarke),Minnesota Wild ,2015 5th round pick (BOS - #135 - Kirill Kaprizov)
13,"Jun. 27, 2015","Edmonton Oilers Acquire:Eric Gryba · $1,250,000$1,250,000$1,300,000Sum: $1,250,000$1,250,000$1,300,000Change: +$1,250,000Change: +$536,667Change: +$1,240,000","Ottawa Senators Acquire:Travis Ewanyk · $0$713,333$60,000 (AHL/JR)2015 4th round pick (PIT - #107 - Christian Wolanin)Sum: $0$713,333$60,000Change: -$1,250,000Change: -$536,667Change: -$1,240,000",Edmonton Oilers ,Eric Gryba,Ottawa Senators ,Travis Ewanyk
14,"Jun. 27, 2015",Los Angeles Kings Acquire:2015 4th round pick (CBJ - #99 - Austin Wagner)Sum: $0$0$0Change: $0Change: $0Change: $0,Philadelphia Flyers Acquire:2015 4th round pick (LAK - #104 - Mikhail Vorobyov)2016 6th round pick (LAK - #172 - Anthony Salinitri)Sum: $0$0$0Change: $0Change: $0Change: $0,Los Angeles Kings ,2015 4th round pick (CBJ - #99 - Austin Wagner),Philadelphia Flyers ,2015 4th round pick (LAK - #104 - Mikhail Vorobyov)2016 6th round pick (LAK - #172 - Anthony Salinitri)
15,"Jun. 27, 2015","Edmonton Oilers Acquire:Brad Ross · $0$0$0 (Signing Rights)2015 4th round pick (PIT - #107 - Christian Wolanin)Sum: $0$0$0Change: -$700,000Change: -$700,000Change: -$700,000","Toronto Maple Leafs Acquire:Martin Marincin · $700,000$700,000$700,000Sum: $700,000$700,000$700,000Change: +$700,000Change: +$700,000Change: +$700,000",Edmonton Oilers ,Brad Ross,Toronto Maple Leafs ,Martin Marincin
16,"Jun. 27, 2015",Edmonton Oilers Acquire:Todd McLellan (Coach) (Compensation from the Oilers for hiring McLellan)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks Acquire:2015 3rd round pick (STL - #86 - Mike Robinson)Sum: $0$0$0Change: $0Change: $0Change: $0,Edmonton Oilers ,Todd McLellan (Coach) (Compensation from the Oilers for hiring McLellan)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,2015 3rd round pick (STL - #86 - Mike Robinson)
17,"Jun. 27, 2015",San Jose Sharks Acquire:Patrick McNally · $0$0$0Sum: $0$0$0Change: $0Change: $0Change: $0,Vancouver Canucks Acquire:2015 7th round pick (TBL - #210 - Tate Olson)Sum: $0$0$0Change: $0Change: $0Change: $0,San Jose Sharks ,Patrick McNally,Vancouver Canucks ,2015 7th round pick (TBL - #210 - Tate Olson)
18,"Jun. 27, 2015",New York Rangers Acquire:2015 4th round pick (WSH - #113 - Brad Morrison)2015 3rd round pick (BUF - #62 - Robin Kovacs)Sum: $0$0$0Change: $0Change: $0Change: $0,Washington Capitals Acquire:2015 2nd round pick (MTL - #57 - Jonas Siegenthaler)Sum: $0$0$0Change: $0Change: $0Change: $0,New York Rangers ,2015 4th round pick (WSH - #113 - Brad Morrison)2015 3rd round pick (BUF - #62 - Robin Kovacs),Washington Capitals ,2015 2nd round pick (MTL - #57 - Jonas Siegenthaler)
19,"Jun. 27, 2015","Anaheim Ducks Acquire:Anton Khudobin · $2,250,000$2,250,000$2,500,000Sum: $2,250,000$2,250,000$2,500,000Change: -$3,250,000Change: -$3,250,000Change: -$2,500,000","Carolina Hurricanes Acquire:James Wisniewski · $5,500,000$5,500,000$5,000,000Sum: $5,500,000$5,500,000$5,000,000Change: +$3,250,000Change: +$3,250,000Change: +$2,500,000",Anaheim Ducks ,Anton Khudobin,Carolina Hurricanes ,James Wisniewski
20,"Jun. 27, 2015","Edmonton Oilers Acquire:Cam Talbot · $1,450,000$1,450,000$1,450,0002015 7th round pick (NYR - #209 - Ziyat Paigin)Sum: $1,450,000$1,450,000$1,450,000Change: +$1,450,000Change: +$1,450,000Change: +$1,450,000","New York Rangers Acquire:2015 3rd round pick (OTT - #79 - Sergey Zborovskiy)2015 2nd round pick (MTL - #57 - Jonas Siegenthaler)2015 7th round pick (EDM - #184 - Adam Huska)Sum: $0$0$0Change: -$1,450,000Change: -$1,450,000Change: -$1,450,000",Edmonton Oilers ,Cam Talbot,New York Rangers ,2015 3rd round pick (OTT - #79 - Sergey Zborovskiy)2015 2nd round pick (MTL - #57 - Jonas Siegenthaler)2015 7th round pick (EDM - #184 - Adam Huska)
