,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"Budaj, Peter",34,Stnd,UFA,"$600,000 ",60,3307,1414,1294,0.915,2.18,"$10,000 ",$181 ,$463 
1,2,"Hellebuyck, Connor",23,ELC,RFA,"$667,500 ",56,3033,1572,1426,0.907,2.89,"$11,919 ",$220 ,$468 
2,3,"Murray, Matt",22,ELC,RFA,"$628,333 ",49,2765,1450,1339,0.923,2.41,"$12,823 ",$227 ,$469 
3,4,"Condon, Mike",26,Stnd,UFA,"$575,000 ",41,2324,1122,1026,0.914,2.48,"$14,024 ",$247 ,$560 
4,5,"Vasilevskiy, Andrei",22,ELC,RFA,"$925,000 ",50,2831,1480,1357,0.917,2.61,"$18,500 ",$326 ,$681 
5,6,"Darling, Scott",28,Stnd,UFA,"$587,500 ",32,1688,877,810,0.924,2.38,"$18,359 ",$348 ,$725 
6,7,"Pickard, Calvin",24,Stnd,RFA,"$1,000,000 ",50,2820,1461,1321,0.904,2.98,"$20,000 ",$354 ,$757 
7,8,"Kinkaid, Keith",27,Stnd,UFA,"$725,000 ",26,1476,778,713,0.917,2.64,"$27,884 ",$491 ,"$1,016 "
8,9,"Greiss, Thomas",30,Stnd,UFA,"$1,500,000 ",51,2813,1453,1327,0.913,2.69,"$29,411 ",$533 ,"$1,130 "
9,10,"Saros, Juuse",21,ELC,RFA,"$692,500 ",21,1199,614,567,0.924,2.35,"$32,976 ",$577 ,"$1,221 "
10,11,"Dell, Aaron",27,Stnd,UFA,"$625,000 ",20,1110,533,496,0.931,2,"$31,250 ",$563 ,"$1,260 "
11,12,"Nilsson, Anders",26,Stnd,UFA,"$1,000,000 ",26,1484,857,791,0.923,2.67,"$38,461 ",$673 ,"$1,264 "
12,13,"Lehner, Robin",25,Stnd,RFA,"$2,225,000 ",59,3405,1910,1758,0.92,2.68,"$37,711 ",$653 ,"$1,265 "
13,14,"Domingue, Louis",24,Stnd,RFA,"$1,050,000 ",31,1598,888,806,0.908,3.08,"$33,870 ",$657 ,"$1,302 "
14,15,"Grubauer, Philipp",25,Stnd,RFA,"$750,000 ",24,1264,585,542,0.927,2.04,"$31,250 ",$593 ,"$1,383 "
15,16,"Raanta, Antti",27,Stnd,UFA,"$1,000,000 ",30,1617,782,721,0.922,2.26,"$33,333 ",$618 ,"$1,386 "
16,17,"McElhinney, Curtis",33,Stnd,UFA,"$800,000 ",21,1133,616,565,0.917,2.7,"$38,095 ",$706 ,"$1,415 "
17,18,"Allen, Jake",26,Stnd,RFA,"$2,350,000 ",61,3418,1620,1482,0.915,2.42,"$38,524 ",$687 ,"$1,585 "
18,19,"Gibson, John",23,Stnd,RFA,"$2,300,000 ",52,2950,1437,1328,0.924,2.22,"$44,230 ",$779 ,"$1,731 "
