,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
0,1,"DeSmith, Casey",27,Stnd,UFA,"$675,000 ",36,1943,1060,971,0.916,2.75,"$18,750 ",$347 ,$695 
1,2,"Rittich, David",26,Stnd,RFA,"$800,000 ",45,2503,1228,1119,0.911,2.61,"$17,777 ",$319 ,$714 
2,3,"Ullmark, Linus",25,Stnd,RFA,"$750,000 ",37,2102,1146,1037,0.905,3.11,"$20,270 ",$356 ,$723 
3,4,"Hart, Carter",20,ELC,RFA,"$730,833 ",31,1716,976,895,0.917,2.83,"$23,575 ",$425 ,$816 
4,5,"Georgiev, Alexandar",22,ELC,RFA,"$792,500 ",33,1874,1057,966,0.914,2.91,"$24,015 ",$422 ,$820 
5,6,"Campbell, Jack",26,Stnd,UFA,"$675,000 ",31,1592,845,784,0.928,2.3,"$21,774 ",$423 ,$860 
6,7,"Binnington, Jordan",25,Stnd,RFA,"$650,000 ",32,1876,807,748,0.927,1.89,"$20,312 ",$346 ,$868 
7,8,"Copley, Pheonix",26,Stnd,UFA,"$650,000 ",27,1528,776,702,0.905,2.91,"$24,074 ",$425 ,$925 
8,9,"McElhinney, Curtis",35,Stnd,UFA,"$850,000 ",33,1977,968,883,0.912,2.58,"$25,757 ",$429 ,$962 
9,10,"Brossoit, Laurent",25,Stnd,RFA,"$650,000 ",21,1165,652,603,0.925,2.52,"$30,952 ",$557 ,"$1,077 "
10,11,"Blackwood, Mackenzie",22,ELC,RFA,"$697,500 ",23,1263,669,614,0.918,2.61,"$30,326 ",$552 ,"$1,135 "
11,12,"Subban, Malcolm",25,Stnd,RFA,"$650,000 ",21,1226,612,552,0.902,2.94,"$30,952 ",$530 ,"$1,177 "
12,13,"Kinkaid, Keith",29,Stnd,UFA,"$1,250,000 ",41,2301,1188,1059,0.891,3.36,"$30,487 ",$543 ,"$1,180 "
13,14,"Kuemper, Darcy",28,Stnd,UFA,"$1,850,000 ",55,3251,1677,1551,0.925,2.33,"$33,636 ",$569 ,"$1,192 "
14,15,"Lehner, Robin",27,Stnd,UFA,"$1,500,000 ",46,2615,1323,1230,0.93,2.13,"$32,608 ",$573 ,"$1,219 "
15,16,"Sparks, Garret",25,Stnd,RFA,"$675,000 ",20,1104,592,534,0.902,3.15,"$33,750 ",$611 ,"$1,264 "
16,17,"Gibson, John",25,Stnd,RFA,"$2,300,000 ",58,3233,1838,1685,0.917,2.84,"$39,655 ",$711 ,"$1,364 "
17,18,"Stalock, Alex",31,Stnd,UFA,"$650,000 ",21,1065,525,472,0.899,2.99,"$30,952 ",$610 ,"$1,377 "
18,19,"Mrázek, Petr",26,Stnd,UFA,"$1,500,000 ",40,2386,1104,1009,0.914,2.39,"$37,500 ",$628 ,"$1,486 "
19,20,"Korpisalo, Joonas",24,Stnd,RFA,"$900,000 ",27,1360,651,584,0.897,2.96,"$33,333 ",$661 ,"$1,541 "
20,21,"Delia, Collin",24,ELC,RFA,"$767,500 ",16,831,545,495,0.908,3.61,"$47,968 ",$923 ,"$1,550 "
21,22,"Domingue, Louis",26,Stnd,UFA,"$1,150,000 ",26,1560,812,737,0.908,2.88,"$44,230 ",$737 ,"$1,560 "
22,23,"Stolarz, Anthony",24,Stnd,UFA,"$761,250 ",18,867,503,453,0.901,3.46,"$42,291 ",$878 ,"$1,680 "
23,24,"Koskinen, Mikko",30,Stnd,UFA,"$2,500,000 ",55,2991,1551,1405,0.906,2.93,"$45,454 ",$835 ,"$1,779 "
24,25,"Saros, Juuse",23,Stnd,RFA,"$1,500,000 ",31,1696,870,796,0.915,2.62,"$48,387 ",$884 ,"$1,884 "
25,26,"Hutton, Carter",33,Stnd,UFA,"$2,750,000 ",50,2839,1541,1399,0.908,3,"$55,000 ",$968 ,"$1,965 "
26,27,"Niemi, Antti",35,Stnd,UFA,"$950,000 ",17,968,539,478,0.887,3.78,"$55,882 ",$981 ,"$1,987 "
27,28,"Markström, Jacob",28,Stnd,UFA,"$3,666,667 ",60,3599,1896,1730,0.912,2.77,"$61,111 ","$1,018 ","$2,119 "
28,29,"Khudobin, Anton",32,Stnd,UFA,"$2,500,000 ",41,2219,1232,1137,0.923,2.57,"$60,975 ","$1,126 ","$2,198 "
29,30,"Vasilevskiy, Andrei",24,Stnd,RFA,"$3,500,000 ",53,3203,1713,1585,0.925,2.4,"$66,037 ","$1,092 ","$2,208 "
30,31,"Pickard, Calvin",26,Stnd,UFA,"$800,000 ",17,746,384,336,0.875,3.86,"$47,058 ","$1,072 ","$2,380 "
31,32,"McKenna, Mike",35,35+,UFA,"$700,000 ",11,510,316,282,0.892,4,"$63,636 ","$1,372 ","$2,482 "
32,33,"Hill, Adin",22,ELC,RFA,"$725,833 ",13,696,322,290,0.901,2.76,"$55,833 ","$1,042 ","$2,502 "
33,34,"Nilsson, Anders",28,Stnd,UFA,"$2,500,000 ",36,2038,1098,997,0.908,2.97,"$69,444 ","$1,226 ","$2,507 "
