,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
0,"Jun. 30, 2019","Anaheim Ducks Acquire:Nicolas Deslauriers · $950,000$950,000$950,000Sum: $950,000$950,000$950,000Change: +$950,000Change: +$950,000Change: +$950,000","Montreal Canadiens Acquire:2020 4th round pick (ANA - #98 - Brandon Coe)Sum: $0$0$0Change: -$950,000Change: -$950,000Change: $0",Anaheim Ducks ,Nicolas Deslauriers,Montreal Canadiens ,2020 4th round pick (ANA - #98 - Brandon Coe)
1,"Jun. 30, 2019","Chicago Blackhawks Acquire:Andrew Shaw · $3,900,000$3,900,000$3,250,0002021 7th round pick (MTL - #223 - Sam Lipkin)Sum: $3,900,000$3,900,000$3,250,000Change: +$3,900,000Change: +$3,900,000Change: +$3,250,000","Montreal Canadiens Acquire:2020 2nd round pick (CHI - #48 - Jan Mysak)2020 7th round pick (CHI - #203 - Chase Bradley)2021 3rd round pick (CHI - #76 - Tyson Hinds)Sum: $0$0$0Change: -$3,900,000Change: -$3,900,000Change: $0",Chicago Blackhawks ,Andrew Shaw,Montreal Canadiens ,2020 2nd round pick (CHI - #48 - Jan Mysak)2020 7th round pick (CHI - #203 - Chase Bradley)2021 3rd round pick (CHI - #76 - Tyson Hinds)
2,"Jun. 30, 2019","Carolina Hurricanes Acquire:James Reimer · $3,400,000$3,400,000$3,100,000Sum: $3,400,000$3,400,000$3,100,000Change: -$750,000Change: -$750,000Change: +$3,100,000","Florida Panthers Acquire:Scott Darling · $4,150,000$4,150,000$4,100,0002020 6th round pick (BUF - #162 - Yauheni Aksiantsiuk)Sum: $4,150,000$4,150,000$4,100,000Change: +$750,000Change: +$750,000Change: +$4,100,000",Carolina Hurricanes ,James Reimer,Florida Panthers ,Scott Darling
3,"Jun. 29, 2019","Arizona Coyotes Acquire:Phil Kessel · $6,800,000$6,800,000$5,950,000Dane Birks · $0$755,000$60,000 (AHL/JR)2021 4th round pick (PIT - #122 - Rasmus Korhonen)Sum: $6,800,000$7,555,000$6,010,000Change: +$1,900,000Change: +$1,791,667Change: +$6,010,000","Pittsburgh Penguins Acquire:Alex Galchenyuk · $4,900,000$4,900,000$4,900,000Pierre-Olivier Joseph · $0$863,333$70,000 (AHL/JR)Sum: $4,900,000$5,763,333$4,970,000Change: -$1,900,000Change: -$1,791,667Change: +$4,970,000",Arizona Coyotes ,Phil Kessel,Pittsburgh Penguins ,Alex Galchenyuk
4,"Jun. 29, 2019","Colorado Avalanche Acquire:Jacob MacDonald · $0$750,000$250,000 (AHL/JR)Sum: $0$750,000$250,000Change: $0Change: +$750,000Change: +$250,000","Florida Panthers Acquire:Dominic Toninato · $0$0$0 (AHL/JR) (Signing Rights)Sum: $0$0$0Change: $0Change: -$750,000Change: $0",Colorado Avalanche ,Jacob MacDonald,Florida Panthers ,Dominic Toninato
5,"Jun. 28, 2019","Buffalo Sabres Acquire:Colin Miller · $3,875,000$3,875,000$3,875,000Sum: $3,875,000$3,875,000$3,875,000Change: +$3,875,000Change: +$3,875,000Change: +$3,875,000","Vegas Golden Knights Acquire:2021 2nd round pick (STL - #49 - Ben Roger)2022 5th round pick (BUF - #138 - Sergei Ivanov)Sum: $0$0$0Change: -$3,875,000Change: -$3,875,000Change: $0",Buffalo Sabres ,Colin Miller,Vegas Golden Knights ,2021 2nd round pick (STL - #49 - Ben Roger)2022 5th round pick (BUF - #138 - Sergei Ivanov)
6,"Jun. 28, 2019",Colorado Avalanche Acquire:André Burakovsky · $0$0$0 (Signing Rights)Sum: $0$0$0Change: $0Change: $0Change: $0,Washington Capitals Acquire:Scott Kosmachuk · $0$0$0 (AHL/JR) (Signing Rights)2020 2nd round pick (COL - #56 - Tristen Robins)2020 3rd round pick (ARI - #80 - Jake Boltmann)Sum: $0$0$0Change: $0Change: $0Change: $0,Colorado Avalanche ,André Burakovsky,Washington Capitals ,Scott Kosmachuk
7,"Jun. 27, 2019","Carolina Hurricanes Acquire:Erik Haula · $2,750,000$2,750,000$2,750,000Sum: $2,750,000$2,750,000$2,750,000Change: +$2,750,000Change: +$2,030,000Change: +$2,750,000","Vegas Golden Knights Acquire:Nicolas Roy · $0$720,000$67,500 (AHL/JR)2021 5th round pick (CAR - #155 - Oscar Plandowski) [Conditional]**Conditions: Vegas receives the 2021 5th round draft pick if Haula is on the Hurricanes' roster past the 2019-20 season, and/or if Carolina trades Haula for one of the following: a player, multiple draft picks, or a draft pick in rounds 1 to 5. If no condition is met, no pick will be transferred. Result: Condition met. Vegas receives the 2021 5th round pick.Sum: $0$720,000$67,500Change: -$2,750,000Change: -$2,030,000Change: +$67,500",Carolina Hurricanes ,Erik Haula,Vegas Golden Knights ,Nicolas Roy
8,"Jun. 25, 2019","Arizona Coyotes Acquire:Carl Söderberg · $4,750,000$4,750,000$4,000,000Sum: $4,750,000$4,750,000$4,000,000Change: +$3,375,000Change: +$3,375,000Change: +$4,000,000","Colorado Avalanche Acquire:Kevin Connauton · $1,375,000$1,375,000$1,500,0002020 3rd round pick (ARI - #80 - Jake Boltmann)Sum: $1,375,000$1,375,000$1,500,000Change: -$3,375,000Change: -$3,375,000Change: +$1,500,000",Arizona Coyotes ,Carl Söderberg,Colorado Avalanche ,Kevin Connauton
9,"Jun. 24, 2019","Carolina Hurricanes Acquire:Anton Forsberg · $0$0$0 (AHL/JR) (Signing Rights)Gustav Forsling · $0$0$0 (Signing Rights)Sum: $0$0$0Change: -$4,550,000Change: -$5,303,333Change: $0","Chicago Blackhawks Acquire:Calvin De Haan · $4,550,000$4,550,000$4,700,000Aleksi Saarela · $0$753,333$70,000 (AHL/JR)Sum: $4,550,000$5,303,333$4,770,000Change: +$4,550,000Change: +$5,303,333Change: +$4,770,000",Carolina Hurricanes ,Anton Forsberg,Chicago Blackhawks ,Calvin De Haan
