,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,1. Nathan MacKinnon,COL,27,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,82,51.0,89.0,140.0,1.71,35.0,405.0,0.13,22:48,38.35,404.0,690.0,525.0,1.24,13.08,22.34,17.0,1331.0,787.0,62.84,2562.0,1516.0,62.82,1882.0,1115.0,62.8,154.32,83.13,64.98,,,,,,,,,COL,Standard (1-way),✔,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000",15.3%,"$12,600,000","$16,500,000","$775,000","$16,500,000","$15,725,000",$0
1,2. Connor McDavid,EDM,26,"Jan. 13, 1997",Canada,193 lbs - 88 kg,"6'1"" - 185 cm",C,Left,1 - Round 1 - 2015 (EDM),,,,76,32.0,100.0,132.0,1.74,35.0,263.0,0.12,21:21,34.08,263.0,452.0,354.0,1.26,9.72,16.71,13.08,1195.0,683.0,63.63,2240.0,1238.0,64.4,1673.0,934.0,64.17,157.57,74.52,67.89,,,,,,,,,EDM,Standard (1-way),✔,"Jul. 5, 2017",21,,,NMC,8,RFA,UFA,2026,"$12,500,000",16.7%,"$12,500,000","$11,000,000","$1,000,000","$11,000,000","$10,000,000",$0
2,3. Artemi Panarin,NYR,31,"Oct. 30, 1991",Russia,170 lbs - 77 kg,"5'11"" - 180 cm",LW,Right,,,,,82,49.0,71.0,120.0,1.46,18.0,302.0,0.16,20:07,32.07,303.0,651.0,431.0,1.17,11.02,23.68,15.68,1161.0,707.0,62.15,2342.0,1308.0,64.16,1723.0,987.0,63.58,143.38,77.31,64.97,,,,,,,,,NYR,Standard (1-way),,"Jul. 1, 2019",27,,,NMC,7,UFA,UFA,2026,"$11,642,857",14.3%,"$11,642,857","$11,000,000","$1,000,000","$11,000,000","$10,000,000",$0
3,4. Auston Matthews,TOR,25,"Sep. 17, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",C,Left,1 - Round 1 - 2016 (TOR),,,,81,69.0,38.0,107.0,1.32,31.0,369.0,0.19,20:57,50.16,368.0,694.0,534.0,1.77,13.0,24.52,18.87,1127.0,673.0,62.61,2240.0,1473.0,60.33,1642.0,1025.0,61.57,147.28,80.43,64.68,,,,,,,,,TOR,Standard (1-way),✔,"Feb. 5, 2019",21,,,NMC,5,RFA,UFA,2024,"$11,640,250",14.6%,"$11,640,250","$7,975,000","$775,000","$7,975,000","$7,200,000",$0
4,5. Erik Karlsson,PIT,33,"May 31, 1990",Sweden,190 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,15 - Round 1 - 2008 (OTT),,,,82,11.0,45.0,56.0,0.68,4.0,213.0,0.05,24:16,12.27,214.0,550.0,311.0,0.37,6.45,16.57,9.38,1291.0,881.0,59.44,2601.0,1749.0,59.79,1840.0,1332.0,58.01,156.87,99.9,61.09,,,,,,,,,SJS,Standard (1-way),✔,"Jun. 17, 2019",29,,,NMC,8,UFA,UFA,2027,"$11,500,000",14.5%,"$11,500,000","$11,500,000","$10,500,000","$11,500,000","$1,000,000",$0
5,6. David Pastrnak,BOS,27,"May 25, 1996",Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,82,47.0,63.0,110.0,1.34,21.0,382.0,0.12,19:55,40.04,381.0,717.0,529.0,1.47,13.99,26.32,19.42,1040.0,719.0,59.12,1965.0,1363.0,59.04,1467.0,1024.0,58.89,125.72,73.81,63.01,,,,,,,,,BOS,Standard (1-way),✔,"Mar. 2, 2023",27,,,NMC,8,UFA,UFA,2031,"$11,250,000",13.6%,"$11,250,000","$13,000,000","$8,500,000","$13,000,000","$4,500,000",$0
6,7. John Tavares,TOR,32,"Sep. 20, 1990",Canada,215 lbs - 98 kg,"6'1"" - 185 cm","C, LW",Left,1 - Round 1 - 2009 (NYI),,,,80,29.0,36.0,65.0,0.81,2.0,279.0,0.1,17:51,45.05,279.0,484.0,385.0,1.89,11.71,20.32,16.16,980.0,658.0,59.83,1901.0,1264.0,60.06,1372.0,931.0,59.57,124.69,66.64,65.17,,,,,,,,,TOR,Standard (1-way),,"Jul. 1, 2018",27,,,NMC,7,UFA,UFA,2025,"$11,000,000",13.8%,"$11,000,000","$7,950,000","$910,000","$7,950,000","$7,040,000",$0
7,8. Drew Doughty,LAK,33,"Dec. 8, 1989",Canada,202 lbs - 92 kg,"6'1"" - 185 cm",RD,Right,2 - Round 1 - 2008 (LAK),,,,82,15.0,35.0,50.0,0.61,15.0,135.0,0.11,25:47,8.11,134.0,305.0,183.0,0.23,3.84,8.75,5.25,1089.0,898.0,54.81,2207.0,1859.0,54.28,1596.0,1319.0,54.75,121.88,101.32,54.61,,,,,,,,,LAK,Standard (1-way),✔,"Jul. 1, 2018",29,,,M-NTC,8,UFA,UFA,2027,"$11,000,000",13.8%,"$11,000,000","$11,000,000","$11,000,000","$11,000,000",$0,$0
8,9. Mitchell Marner,TOR,26,"May 5, 1997",Canada,180 lbs - 82 kg,"6'0"" - 183 cm",RW,Right,4 - Round 1 - 2015 (TOR),,,,69,26.0,59.0,85.0,1.23,21.0,158.0,0.16,21:16,21.05,158.0,365.0,246.0,0.86,6.46,14.92,10.06,881.0,646.0,57.69,1772.0,1360.0,56.58,1290.0,978.0,56.88,117.41,82.52,58.73,,,,,,,,,TOR,Standard (1-way),,"Sep. 13, 2019",22,,,NMC,6,RFA,UFA,2025,"$10,903,000",13.4%,"$10,903,000","$8,025,000","$775,000","$8,025,000","$7,250,000",$0
9,10. Jonathan Huberdeau,CGY,30,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,81,12.0,40.0,52.0,0.64,-29.0,143.0,0.08,17:25,19.32,142.0,276.0,207.0,0.83,6.11,11.88,8.91,843.0,617.0,57.74,1760.0,1247.0,58.53,1234.0,891.0,58.07,98.51,74.06,57.08,,,,,,,,,CGY,Standard (1-way),✔,"Aug. 4, 2022",30,,,NMC,8,UFA,UFA,2031,"$10,500,000",12.7%,"$10,500,000","$10,500,000","$3,500,000","$10,500,000","$7,000,000",$0
