,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,1. Nathan MacKinnon,COL,32,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,COL,Standard (1-way),✔,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000",15.3%,"$12,600,000","$9,900,000","$990,000","$9,900,000","$8,910,000",$0
1,2. William Nylander,TOR,32,"May 1, 1996",Canada,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,8 - Round 1 - 2014 (TOR),,,,TOR,Standard (1-way),✔,"Jan. 8, 2024",28,,,NMC,8,UFA,UFA,2032,"$11,500,000",13.8%,"$11,500,000","$11,000,000","$6,000,000","$11,000,000","$5,000,000",$0
2,3. David Pastrnak,BOS,32,"May 25, 1996",Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,BOS,Standard (1-way),✔,"Mar. 2, 2023",27,,,"M-NTC, NMC",8,UFA,UFA,2031,"$11,250,000",13.6%,"$11,250,000","$10,500,000","$7,500,000","$10,500,000","$3,000,000",$0
3,4. Jonathan Huberdeau,CGY,35,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,CGY,Standard (1-way),✔,"Aug. 4, 2022",30,,,NMC,8,UFA,UFA,2031,"$10,500,000",12.7%,"$10,500,000","$10,500,000","$3,500,000","$10,500,000","$7,000,000",$0
4,5. Aleksander Barkov,FLA,32,"Sep. 2, 1995",Finland,210 lbs - 95 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2013 (FLA),,,,FLA,Standard (1-way),✔,"Oct. 8, 2021",26,,,M-NTC,8,UFA,UFA,2030,"$10,000,000",12.3%,"$10,000,000","$7,200,000","$1,000,000","$7,200,000","$6,200,000",$0
5,6. Sebastian Aho,CAR,30,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 26, 2023",26,,,NMC,8,UFA,UFA,2032,"$9,750,000",11.7%,"$9,750,000","$10,000,000","$8,000,000","$10,000,000","$2,000,000",$0
6,7. Johnny Gaudreau,CBJ,34,"Aug. 13, 1993",United States,165 lbs - 75 kg,"5'9"" - 175 cm",LW,Left,104 - Round 4 - 2011 (CGY),,,,CBJ,Standard (1-way),,"Jul. 13, 2022",28,,,"M-NTC, NMC",7,UFA,UFA,2029,"$9,750,000",11.8%,"$9,750,000","$9,750,000","$7,750,000","$9,750,000","$2,000,000",$0
7,8. Seth Jones,CHI,33,"Oct. 3, 1994",United States,209 lbs - 95 kg,"6'4"" - 193 cm",RD,Right,4 - Round 1 - 2013 (NSH),,,,CHI,Standard (1-way),✔,"Jul. 23, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,500,000",11.7%,"$9,500,000","$7,500,000","$2,500,000","$7,500,000","$5,000,000",$0
8,9. Brayden Point,TBL,32,"Mar. 13, 1996",Canada,166 lbs - 75 kg,"5'10"" - 178 cm","C, RW",Right,79 - Round 3 - 2014 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 28, 2021",26,✔,,M-NTC,8,RFA,UFA,2030,"$9,500,000",11.7%,"$9,500,000","$7,200,000","$3,000,000","$7,200,000","$4,200,000",$0
9,10. Matthew Tkachuk,FLA,30,"Dec. 11, 1997",United States,202 lbs - 92 kg,"6'2"" - 188 cm",RW,Left,6 - Round 1 - 2016 (CGY),,,,CGY,Standard (1-way),,"Jul. 22, 2022",24,✔,✔,M-NTC,8,RFA,UFA,2030,"$9,500,000",11.5%,"$9,500,000","$7,500,000","$1,000,000","$7,500,000","$6,500,000",$0
10,11. Darnell Nurse,EDM,33,"Feb. 4, 1995",Canada,221 lbs - 100 kg,"6'4"" - 193 cm",LD,Left,7 - Round 1 - 2013 (EDM),,,,EDM,Standard (1-way),✔,"Aug. 6, 2021",27,,,"M-NTC, NMC",8,UFA,UFA,2030,"$9,250,000",11.3%,"$9,250,000","$7,200,000","$1,200,000","$7,200,000","$6,000,000",$0
11,12. Jake Guentzel,TBL,33,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,TBL,Standard (1-way),✔,"Jun. 30, 2024",29,,,M-NTC,7,UFA,UFA,2031,"$9,000,000",10.2%,"$9,000,000","$7,957,895","$1,000,000","$7,957,895","$6,957,895",$0
12,13. Timo Meier,NJD,31,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,NJD,Standard (1-way),✔,"Jun. 28, 2023",26,✔,✔,"M-NTC, NMC",8,RFA,UFA,2031,"$8,800,000",10.5%,"$8,800,000","$7,200,000","$2,200,000","$7,200,000","$5,000,000",$0
13,14. Dylan Larkin,DET,31,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,DET,Standard (1-way),✔,"Mar. 1, 2023",26,,,M-NTC,8,UFA,UFA,2031,"$8,700,000",10.5%,"$8,700,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
14,15. Sam Reinhart,FLA,32,"Nov. 6, 1995",Canada,194 lbs - 88 kg,"6'1"" - 185 cm",RW,Right,2 - Round 1 - 2014 (BUF),,,,FLA,Standard (1-way),✔,"Jun. 30, 2024",28,,,NMC,8,UFA,UFA,2032,"$8,625,000",9.8%,"$8,625,000","$9,350,000","$1,000,000","$9,350,000","$8,350,000",$0
15,16. Bo Horvat,NYI,33,"Apr. 5, 1995",Canada,215 lbs - 98 kg,"6'0"" - 183 cm",C,Left,9 - Round 1 - 2013 (VAN),,,,NYI,Standard (1-way),✔,"Feb. 5, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$8,500,000",10.3%,"$8,500,000","$8,500,000","$8,500,000","$8,500,000",$0,$0
16,17. Mika Zibanejad,NYR,35,"Apr. 18, 1993",Sweden,208 lbs - 94 kg,"6'2"" - 188 cm",C,Right,6 - Round 1 - 2011 (OTT),,,,NYR,Standard (1-way),✔,"Oct. 10, 2021",29,,,NMC,8,UFA,UFA,2030,"$8,500,000",10.4%,"$8,500,000","$6,750,000","$1,000,000","$6,750,000","$5,750,000",$0
