,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,1. Auston Matthews,TOR,27,"Sep. 17, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",C,Left,1 - Round 1 - 2016 (TOR),,,,TOR,Standard (1-way),✔,"Aug. 23, 2023",26,,,NMC,4,UFA,UFA,2028,"$13,250,000 ",15.90%,"$13,250,000 ","$15,200,000 ","$775,000 ","$15,200,000 ","$14,425,000 ",$0 
1,2. Nathan MacKinnon,COL,29,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,COL,Standard (1-way),✔,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000 ",15.30%,"$12,600,000 ","$16,050,000 ","$800,000 ","$16,050,000 ","$15,250,000 ",$0 
2,3. Connor McDavid,EDM,28,"Jan. 13, 1997",Canada,193 lbs - 88 kg,"6'1"" - 185 cm",C,Left,1 - Round 1 - 2015 (EDM),,,,EDM,Standard (1-way),✔,"Jul. 5, 2017",21,,,NMC,8,RFA,UFA,2026,"$12,500,000 ",16.70%,"$12,500,000 ","$10,000,000 ","$3,000,000 ","$10,000,000 ","$7,000,000 ",$0 
3,4. Artemi Panarin,NYR,33,"Oct. 30, 1991",Russia,170 lbs - 77 kg,"5'11"" - 180 cm",LW,Right,,,,,NYR,Standard (1-way),,"Jul. 1, 2019",27,,,NMC,7,UFA,UFA,2026,"$11,642,857 ",14.30%,"$11,642,857 ","$8,000,000 ","$1,000,000 ","$8,000,000 ","$7,000,000 ",$0 
4,5. Erik Karlsson,PIT,35,31-May-90,Sweden,190 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,15 - Round 1 - 2008 (OTT),,,,SJS,Standard (1-way),✔,"Jun. 17, 2019",29,,,NMC,8,UFA,UFA,2027,"$11,500,000 ",14.50%,"$11,500,000 ","$9,000,000 ","$4,000,000 ","$9,000,000 ","$5,000,000 ",$0 
5,6. William Nylander,TOR,29,1-May-96,Canada,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,8 - Round 1 - 2014 (TOR),,,,TOR,Standard (1-way),✔,"Jan. 8, 2024",28,,,NMC,8,UFA,UFA,2032,"$11,500,000 ",13.80%,"$11,500,000 ","$13,500,000 ","$3,500,000 ","$13,500,000 ","$10,000,000 ",$0 
6,7. David Pastrnak,BOS,29,25-May-96,Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,BOS,Standard (1-way),✔,"Mar. 2, 2023",27,,,NMC,8,UFA,UFA,2031,"$11,250,000 ",13.60%,"$11,250,000 ","$12,500,000 ","$8,500,000 ","$12,500,000 ","$4,000,000 ",$0 
7,8. Drew Doughty,LAK,35,"Dec. 8, 1989",Canada,202 lbs - 92 kg,"6'1"" - 185 cm",RD,Right,2 - Round 1 - 2008 (LAK),,,,LAK,Standard (1-way),✔,"Jul. 1, 2018",29,,,M-NTC,8,UFA,UFA,2027,"$11,000,000 ",13.80%,"$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ",$0 ,$0 
8,9. Jonathan Huberdeau,CGY,32,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,CGY,Standard (1-way),✔,"Aug. 4, 2022",30,,,NMC,8,UFA,UFA,2031,"$10,500,000 ",12.70%,"$10,500,000 ","$10,500,000 ","$3,500,000 ","$10,500,000 ","$7,000,000 ",$0 
9,10. Carey Price,MTL,37,"Aug. 16, 1987",Canada,217 lbs - 98 kg,"6'3"" - 191 cm",G,Left,5 - Round 1 - 2005 (MTL),,,,MTL,Standard (1-way),✔,"Jul. 2, 2017",29,,,NMC,8,UFA,UFA,2026,"$10,500,000 ",14.00%,"$10,500,000 ","$7,500,000 ","$2,000,000 ","$7,500,000 ","$5,500,000 ",$0 
10,11. Jack Eichel,VGK,28,"Oct. 28, 1996",United States,203 lbs - 92 kg,"6'2"" - 188 cm",C,Right,2 - Round 1 - 2015 (BUF),,,,BUF,Standard (1-way),✔,"Oct. 3, 2017",21,,,NMC,8,RFA,UFA,2026,"$10,000,000 ",13.30%,"$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
11,12. Sergei Bobrovsky,FLA,36,"Sep. 20, 1988",Russia,187 lbs - 85 kg,"6'2"" - 188 cm",G,Left,,,,,FLA,Standard (1-way),,"Jul. 1, 2019",30,,,"M-NTC, NMC",7,UFA,UFA,2026,"$10,000,000 ",12.30%,"$10,000,000 ","$6,000,000 ","$5,000,000 ","$6,000,000 ","$1,000,000 ",$0 
12,13. Aleksander Barkov,FLA,29,"Sep. 2, 1995",Finland,210 lbs - 95 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2013 (FLA),,,,FLA,Standard (1-way),✔,"Oct. 8, 2021",26,,,NMC,8,UFA,UFA,2030,"$10,000,000 ",12.30%,"$10,000,000 ","$11,600,000 ","$1,000,000 ","$11,600,000 ","$10,600,000 ",$0 
13,14. Tyler Seguin,DAL,33,"Jan. 31, 1992",Canada,200 lbs - 91 kg,"6'1"" - 185 cm","C, RW",Right,2 - Round 1 - 2010 (BOS),,,,DAL,Standard (1-way),✔,"Sep. 13, 2018",27,,,NMC,8,UFA,UFA,2027,"$9,850,000 ",12.40%,"$9,850,000 ","$7,100,000 ","$1,100,000 ","$7,100,000 ","$6,000,000 ",$0 
14,15. Sebastian Aho,CAR,27,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 26, 2023",26,,,NMC,8,UFA,UFA,2032,"$9,750,000 ",11.70%,"$9,750,000 ","$12,000,000 ","$10,000,000 ","$12,000,000 ","$2,000,000 ",$0 
15,16. Johnny Gaudreau,CBJ,31,"Aug. 13, 1993",United States,165 lbs - 75 kg,"5'9"" - 175 cm",LW,Left,104 - Round 4 - 2011 (CGY),,,,CBJ,Standard (1-way),,"Jul. 13, 2022",28,,,NMC,7,UFA,UFA,2029,"$9,750,000 ",11.80%,"$9,750,000 ","$9,750,000 ","$7,750,000 ","$9,750,000 ","$2,000,000 ",$0 
16,17. Zachary Werenski,CBJ,27,"Jul. 19, 1997",United States,212 lbs - 96 kg,"6'2"" - 188 cm",LD,Left,8 - Round 1 - 2015 (CBJ),,,,CBJ,Standard (1-way),,"Jul. 29, 2021",24,✔,,NMC,6,RFA,UFA,2028,"$9,583,333 ",11.80%,"$9,583,333 ","$9,500,000 ","$7,500,000 ","$9,500,000 ","$2,000,000 ",$0 
17,18. Alex Ovechkin,WSH,39,"Sep. 17, 1985",Russia,236 lbs - 107 kg,"6'3"" - 191 cm",LW,Right,1 - Round 1 - 2004 (WSH),,,,WSH,35+ (1-way),✔,"Jul. 27, 2021",35,,,"M-NTC, NMC",5,UFA,UFA,2026,"$9,500,000 ",11.70%,"$9,500,000 ","$9,000,000 ","$5,000,000 ","$9,000,000 ","$4,000,000 ",$0 
18,19. Seth Jones,CHI,30,"Oct. 3, 1994",United States,209 lbs - 95 kg,"6'4"" - 193 cm",RD,Right,4 - Round 1 - 2013 (NSH),,,,CHI,Standard (1-way),✔,"Jul. 23, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$10,500,000 ","$5,500,000 ","$10,500,000 ","$5,000,000 ",$0 
19,20. Mark Stone,VGK,33,13-May-92,Canada,202 lbs - 92 kg,"6'3"" - 191 cm",RW,Right,178 - Round 6 - 2010 (OTT),,,,VGK,Standard (1-way),✔,"Mar. 8, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,500,000 ",11.90%,"$9,500,000 ","$8,000,000 ","$3,000,000 ","$8,000,000 ","$5,000,000 ",$0 
