,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,0,Connor McDavid,EDM,23,"Jan. 13, 1997",Canada,193 lbs - 88 kg,"6'1"" - 185 cm",C,Left,1 - Round 1 - 2015 (EDM),,,,56,33,72,105,1.88,21,200,0.17,22:09,24.25,195,307,251,1.2,9.68,15.23,12.45,854,524,61.97,1508,912,62.31,1141,709,61.68,97.47,43.47,69.16,,,,,,,,,EDM,Standard (1-way),✔,"Jul. 5, 2017",21,,,,8,RFA,UFA,2026,"$12,500,000 ",16.70%,"$12,500,000 ","$14,000,000 ","$1,000,000 ","$14,000,000 ","$13,000,000 ",$0 
1,1,Artemi Panarin,NYR,28,"Oct. 30, 1991",Russia,170 lbs - 77 kg,"5'11"" - 180 cm",LW,Right,,,,,42,17,41,58,1.38,14,106,0.16,19:38,11.2,106,222,165,0.81,7.71,16.14,12,511,355,59.01,936,621,60.12,718,474,60.23,57.54,30.54,65.33,,,,,,,,,NYR,Standard (1-way),,"Jul. 1, 2019",27,,,NMC,7,UFA,UFA,2026,"$11,642,857 ",14.30%,"$11,642,857 ","$13,000,000 ","$1,000,000 ","$13,000,000 ","$12,000,000 ",$0 
2,2,Auston Matthews,TOR,22,"Sep. 17, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",C,Left,1 - Round 1 - 2016 (TOR),,,,52,41,25,66,1.27,21,222,0.18,21:33,26.46,214,356,306,1.47,11.86,19.73,16.96,644,427,60.13,1182,821,59.01,905,611,59.7,77.02,40.53,65.52,,,,,,,,,TOR,Standard (1-way),✔,"Feb. 5, 2019",21,,,,5,RFA,UFA,2024,"$11,640,250 ",14.60%,"$11,640,250 ","$15,900,000 ","$700,000 ","$15,900,000 ","$15,200,000 ",$0 
3,3,Erik Karlsson,PIT,30,31-May-90,Sweden,190 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,15 - Round 1 - 2008 (OTT),,,,52,8,14,22,0.42,-18,110,0.07,23:35,6.13,109,236,157,0.3,5.42,11.73,7.81,668,622,51.78,1203,1123,51.72,909,863,51.3,62.84,62.42,50.17,,,,,,,,,SJS,Standard (1-way),✔,"Jun. 17, 2019",29,,,NMC,8,UFA,UFA,2027,"$11,500,000 ",14.50%,"$11,500,000 ","$12,000,000 ","$2,000,000 ","$12,000,000 ","$10,000,000 ",$0 
4,4,Drew Doughty,LAK,30,"Dec. 8, 1989",Canada,202 lbs - 92 kg,"6'1"" - 185 cm",RD,Right,2 - Round 1 - 2008 (LAK),,,,56,8,26,34,0.61,-14,101,0.08,26:22:00,6.46,95,224,143,0.27,3.99,9.41,6,724,648,52.77,1319,1182,52.74,999,909,52.36,69.88,70.83,49.66,,,,,,,,,LAK,Standard (1-way),✔,"Jul. 1, 2018",29,,,NMC,8,UFA,UFA,2027,"$11,000,000 ",13.80%,"$11,000,000 ","$10,000,000 ","$8,000,000 ","$10,000,000 ","$2,000,000 ",$0 
5,5,John Tavares,TOR,29,"Sep. 20, 1990",Canada,215 lbs - 98 kg,"6'1"" - 185 cm","C, LW",Left,1 - Round 1 - 2009 (NYI),,,,56,19,31,50,0.89,12,163,0.12,18:11,22.31,154,265,210,1.36,9.36,16.12,12.78,587,430,57.72,1062,786,57.47,805,593,57.58,69.83,39.89,63.64,,,,,,,,,TOR,Standard (1-way),,"Jul. 1, 2018",27,,,NMC,7,UFA,UFA,2025,"$11,000,000 ",13.80%,"$11,000,000 ","$12,000,000 ","$910,000 ","$12,000,000 ","$11,090,000 ",$0 
6,6,Mitchell Marner,TOR,23,5-May-97,Canada,180 lbs - 82 kg,"6'0"" - 183 cm",RW,Right,4 - Round 1 - 2015 (TOR),,,,55,20,47,67,1.22,21,156,0.13,22:25,19.76,153,290,204,0.98,7.58,14.36,10.1,681,528,56.33,1209,992,54.93,934,742,55.73,81.98,51.27,61.52,,,,,,,,,TOR,Standard (1-way),,"Sep. 13, 2019",22,,,,6,RFA,UFA,2025,"$10,903,000 ",13.40%,"$10,903,000 ","$15,000,000 ","$700,000 ","$15,000,000 ","$14,300,000 ",$0 
7,7,Carey Price,MTL,32,"Aug. 16, 1987",Canada,217 lbs - 98 kg,"6'3"" - 191 cm",G,Left,5 - Round 1 - 2005 (MTL),,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,1,2.64,0.901,2.64,2.34,-0.3,MTL,Standard (1-way),✔,"Jul. 2, 2017",29,,,NMC,8,UFA,UFA,2026,"$10,500,000 ",14.00%,"$10,500,000 ","$9,750,000 ","$1,000,000 ","$9,750,000 ","$8,750,000 ",$0 
8,8,Patrick Kane,DET,31,"Nov. 19, 1988",United States,177 lbs - 80 kg,"5'10"" - 178 cm",RW,Left,1 - Round 1 - 2007 (CHI),,,,56,15,51,66,1.18,-7,191,0.08,22:13,16.54,191,323,240,0.8,9.21,15.57,11.57,693,643,51.87,1183,1100,51.82,874,851,50.67,66.87,63.28,51.38,,,,,,,,,CHI,Standard (1-way),✔,"Jul. 9, 2014",26,,,NMC,8,UFA,UFA,2023,"$10,500,000 ",15.20%,"$10,500,000 ","$7,000,000 ","$2,000,000 ","$7,000,000 ","$5,000,000 ",$0 
9,9,Sergei Bobrovsky,FLA,31,"Sep. 20, 1988",Russia,187 lbs - 85 kg,"6'2"" - 188 cm",G,Left,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,0,2.91,0.906,2.91,2.54,-0.37,FLA,Standard (1-way),,"Jul. 1, 2019",30,,,NMC,7,UFA,UFA,2026,"$10,000,000 ",12.30%,"$10,000,000 ","$12,000,000 ","$6,000,000 ","$12,000,000 ","$6,000,000 ",$0 
10,10,Jack Eichel,VGK,23,"Oct. 28, 1996",United States,203 lbs - 92 kg,"6'2"" - 188 cm",C,Right,2 - Round 1 - 2015 (BUF),,,,21,2,16,18,0.86,-9,61,0.03,20:29,5.76,61,107,92,0.8,8.5,14.91,12.82,254,157,61.8,458,273,62.65,371,212,63.64,23.99,17.84,57.35,,,,,,,,,BUF,Standard (1-way),✔,"Oct. 3, 2017",21,,,,8,RFA,UFA,2026,"$10,000,000 ",13.30%,"$10,000,000 ","$10,000,000 ","$2,500,000 ","$10,000,000 ","$7,500,000 ",$0 
11,11,Anze Kopitar,LAK,32,"Aug. 24, 1987",Slovenia,225 lbs - 102 kg,"6'3"" - 191 cm",C,Left,11 - Round 1 - 2005 (LAK),,,,56,13,37,50,0.89,-7,118,0.11,21:10,12.62,115,212,158,0.66,6,11.07,8.25,609,538,53.1,1137,984,53.61,851,756,52.96,62.61,59.98,51.07,,,,,,,,,LAK,Standard (1-way),✔,"Jan. 16, 2016",28,,,M-NTC,8,UFA,UFA,2024,"$10,000,000 ",14.00%,"$10,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
12,12,Alex Ovechkin,WSH,34,"Sep. 17, 1985",Russia,236 lbs - 107 kg,"6'3"" - 191 cm",LW,Right,1 - Round 1 - 2004 (WSH),,,,45,24,18,42,0.93,-7,182,0.13,19:30,17.39,178,342,259,1.22,12.44,23.9,18.1,494,393,55.69,914,708,56.35,695,556,55.56,47.57,37.86,55.68,,,,,,,,,WSH,Standard (1-way),✔,"Jan. 10, 2008",22,,,M-NTC,13,RFA,UFA,2021,"$9,538,462 ",19.00%,"$9,538,462 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
