,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,0,Nathan MacKinnon,COL,27,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,82,51,89,140,1.71,35,405,0.13,22:48,38.35,404,690,525,1.24,13.08,22.34,17,1331,787,62.84,2562,1516,62.82,1882,1115,62.8,154.32,83.13,64.98,,,,,,,,,COL,Standard (1-way),Yes,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000 ",15.30%,"$12,600,000 ","$16,500,000 ","$775,000 ","$16,500,000 ","$15,725,000 ",$0 
1,1,Connor McDavid,EDM,26,"Jan. 13, 1997",Canada,193 lbs - 88 kg,"6'1"" - 185 cm",C,Left,1 - Round 1 - 2015 (EDM),,,,76,32,100,132,1.74,35,263,0.12,21:21,34.08,263,452,354,1.26,9.72,16.71,13.08,1195,683,63.63,2240,1238,64.4,1673,934,64.17,157.57,74.52,67.89,,,,,,,,,EDM,Standard (1-way),Yes,"Jul. 5, 2017",21,,,NMC,8,RFA,UFA,2026,"$12,500,000 ",16.70%,"$12,500,000 ","$11,000,000 ","$1,000,000 ","$11,000,000 ","$10,000,000 ",$0 
2,2,Artemi Panarin,NYR,31,"Oct. 30, 1991",Russia,170 lbs - 77 kg,"5'11"" - 180 cm",LW,Right,,,,,82,49,71,120,1.46,18,302,0.16,20:07,32.07,303,651,431,1.17,11.02,23.68,15.68,1161,707,62.15,2342,1308,64.16,1723,987,63.58,143.38,77.31,64.97,,,,,,,,,NYR,Standard (1-way),,"Jul. 1, 2019",27,,,NMC,7,UFA,UFA,2026,"$11,642,857 ",14.30%,"$11,642,857 ","$11,000,000 ","$1,000,000 ","$11,000,000 ","$10,000,000 ",$0 
3,3,Auston Matthews,TOR,25,"Sep. 17, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",C,Left,1 - Round 1 - 2016 (TOR),,,,81,69,38,107,1.32,31,369,0.19,20:57,50.16,368,694,534,1.77,13,24.52,18.87,1127,673,62.61,2240,1473,60.33,1642,1025,61.57,147.28,80.43,64.68,,,,,,,,,TOR,Standard (1-way),Yes,"Feb. 5, 2019",21,,,NMC,5,RFA,UFA,2024,"$11,640,250 ",14.60%,"$11,640,250 ","$7,975,000 ","$775,000 ","$7,975,000 ","$7,200,000 ",$0 
4,4,Erik Karlsson,PIT,33,31-May-90,Sweden,190 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,15 - Round 1 - 2008 (OTT),,,,82,11,45,56,0.68,4,213,0.05,24:16:00,12.27,214,550,311,0.37,6.45,16.57,9.38,1291,881,59.44,2601,1749,59.79,1840,1332,58.01,156.87,99.9,61.09,,,,,,,,,SJS,Standard (1-way),Yes,"Jun. 17, 2019",29,,,NMC,8,UFA,UFA,2027,"$11,500,000 ",14.50%,"$11,500,000 ","$11,500,000 ","$10,500,000 ","$11,500,000 ","$1,000,000 ",$0 
5,5,David Pastrnak,BOS,27,25-May-96,Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,82,47,63,110,1.34,21,382,0.12,19:55,40.04,381,717,529,1.47,13.99,26.32,19.42,1040,719,59.12,1965,1363,59.04,1467,1024,58.89,125.72,73.81,63.01,,,,,,,,,BOS,Standard (1-way),Yes,"Mar. 2, 2023",27,,,NMC,8,UFA,UFA,2031,"$11,250,000 ",13.60%,"$11,250,000 ","$13,000,000 ","$8,500,000 ","$13,000,000 ","$4,500,000 ",$0 
6,6,John Tavares,TOR,32,"Sep. 20, 1990",Canada,215 lbs - 98 kg,"6'1"" - 185 cm","C, LW",Left,1 - Round 1 - 2009 (NYI),,,,80,29,36,65,0.81,2,279,0.1,17:51,45.05,279,484,385,1.89,11.71,20.32,16.16,980,658,59.83,1901,1264,60.06,1372,931,59.57,124.69,66.64,65.17,,,,,,,,,TOR,Standard (1-way),,"Jul. 1, 2018",27,,,NMC,7,UFA,UFA,2025,"$11,000,000 ",13.80%,"$11,000,000 ","$7,950,000 ","$910,000 ","$7,950,000 ","$7,040,000 ",$0 
7,7,Drew Doughty,LAK,33,"Dec. 8, 1989",Canada,202 lbs - 92 kg,"6'1"" - 185 cm",RD,Right,2 - Round 1 - 2008 (LAK),,,,82,15,35,50,0.61,15,135,0.11,25:47:00,8.11,134,305,183,0.23,3.84,8.75,5.25,1089,898,54.81,2207,1859,54.28,1596,1319,54.75,121.88,101.32,54.61,,,,,,,,,LAK,Standard (1-way),Yes,"Jul. 1, 2018",29,,,M-NTC,8,UFA,UFA,2027,"$11,000,000 ",13.80%,"$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ",$0 ,$0 
8,8,Mitchell Marner,TOR,26,5-May-97,Canada,180 lbs - 82 kg,"6'0"" - 183 cm",RW,Right,4 - Round 1 - 2015 (TOR),,,,69,26,59,85,1.23,21,158,0.16,21:16,21.05,158,365,246,0.86,6.46,14.92,10.06,881,646,57.69,1772,1360,56.58,1290,978,56.88,117.41,82.52,58.73,,,,,,,,,TOR,Standard (1-way),,"Sep. 13, 2019",22,,,NMC,6,RFA,UFA,2025,"$10,903,000 ",13.40%,"$10,903,000 ","$8,025,000 ","$775,000 ","$8,025,000 ","$7,250,000 ",$0 
9,9,Jonathan Huberdeau,CGY,30,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,81,12,40,52,0.64,-29,143,0.08,17:25,19.32,142,276,207,0.83,6.11,11.88,8.91,843,617,57.74,1760,1247,58.53,1234,891,58.07,98.51,74.06,57.08,,,,,,,,,CGY,Standard (1-way),Yes,"Aug. 4, 2022",30,,,NMC,8,UFA,UFA,2031,"$10,500,000 ",12.70%,"$10,500,000 ","$10,500,000 ","$3,500,000 ","$10,500,000 ","$7,000,000 ",$0 
